id;code;name;continent;region;surface_area;population;life_expectancy;local_name;government_form
1;mob;Home Loan Account Table Computer;ASIA;Savings Account alarm;2058;5641;96990;parsing red Chips;Money Market Account
2;Alb;Namibia;ASIA;Multi-channelled Licensed;61838;19967;38246;Planner Canyon;Credit Card Account Table Small Frozen Sausag
3;Sou;Nakfa;ASIA;Games Regional Digitized;66252;75536;31171;Costa Rica Mayotte;Industrial
4;con;capacitor archive;ASIA;compress South Georgia and;58675;35675;96525;Home Loan Account;Plastic
5;Car;orange Books;ASIA;Unbranded Plastic Tuna Fro;86310;85003;62329;archive Fantastic Plastic Chicken;payment
6;wit;embrace Developer;ASIA;Sleek Metal Table Small;43933;10789;20171;Dynamic;knowledge base Buckinghamshire
7;Con;User-centric;ASIA;Salad Web virtual;63340;10549;87146;digital maroon;EXE projection Fresh
8;sup;withdrawal;ASIA;ability Hat Iraq;48482;22210;69243;encompassing;Directives
9;sky;Kenyan Shilling robust;ASIA;capability zero tolerance ;60956;97661;50267;Small Plastic Pants Investor;Canadian Dollar
10;Ber;Credit Card Account;ASIA;Re-contextualized;80313;36778;47030;Orchestrator deliver;Licensed hacking installation
